Datetime,Tweet Id,Text,Username
2021-02-13 02:18:07+00:00,1360412908388118528,"Awesome piece out from @WSJ about how more women are choosing Robinhood, which is essential to democratizing finance for all. Check out the full article: https://t.co/FAf7BJJ4zV https://t.co/FureRYzJ7O",RobinhoodApp
2021-02-12 00:07:11+00:00,1360017572117114880,"What happens when you make a stock trade on Robinhood, and who’s involved? Let’s break down payment for order flow and more. https://t.co/gQjjNKpXC8",RobinhoodApp
2021-02-11 14:06:07+00:00,1359866308985315345,"We’re democratizing Wall Street - and Pike Place. Robinhood is expanding to new locations in Seattle and New York City. We’re hiring across the U.S. - join us!

https://t.co/fqcfUXbDM1",RobinhoodApp
2021-02-10 04:16:56+00:00,1359355648782209024,"What’s high frequency trading, and what role does it play in the market? Learn more about it below and in an article written by our CEO, @VladTenev: https://t.co/atPgSeYiRR https://t.co/0ER96GljcI",RobinhoodApp
2021-02-09 23:37:13+00:00,1359285255824437252,"@kevinolearytv Welcome to Robinhood, Mr. Wonderful! 👋",RobinhoodApp
2021-02-08 03:07:44+00:00,1358613457021456388,@justinstaple Thank you!,RobinhoodApp
2021-02-04 20:44:22+00:00,1357429813909225472,The trading surge in January 2021 made March 2020 look like a blip. We're sharing context on the unprecedented growth Robinhood is seeing. https://t.co/FxkJjGbBCN,RobinhoodApp
2021-02-02 19:34:34+00:00,1356687472206381057,"Last week we saw the impact the two-day trade settlement period has on investors and ultimately our entire financial system. It’s time for T+2 to go.

https://t.co/zfubqijfML",RobinhoodApp
2021-02-02 17:32:59+00:00,1356656876696469504,"We’re witnessing something that the stock market has never quite experienced before. Standing by our Robinhood community means being there for our customers through any trading environment and communicating about the rules our industry faces.

https://t.co/MF5mcyIjOX https://t.co/Evve8lYjZj",RobinhoodApp
2021-02-01 17:02:15+00:00,1356286752768446475,"We’ve raised $3.4 billion to invest in record customer growth. With this funding, we’ll build and enhance our products that give more people access to the financial system. https://t.co/4gcfY5PCBa",RobinhoodApp
2021-02-01 01:47:42+00:00,1356056598725099521,"We want to share with you what Robinhood believes and stands for. Here’s the full story from our CEO, Vlad.
https://t.co/K4DvZrQMmK",RobinhoodApp
2021-01-30 03:44:29+00:00,1355361214897897474,"We’ve received questions about Robinhood and the mechanics behind your trades.  

https://t.co/fuGCgDZZli https://t.co/JYTTbOK7rf",RobinhoodApp
2021-01-28 14:56:44+00:00,1354805613566410756,"In light of current market volatility, we are restricting transactions for certain securities to position closing only, including $AMC and $GME. Read more here.

https://t.co/CdJMjGAeFH",RobinhoodApp
2021-01-28 11:30:05+00:00,1354753612375842816,"New to Robinhood? Our Investing 101 hub has guides for stocks, strategies, and everything in-between. https://t.co/TfXXVq07Nt https://t.co/zTzwYnEqUb",RobinhoodApp
2021-01-28 01:30:06+00:00,1354602619055058954,Have questions about getting started on Robinhood? Our Help Center has plenty of resources for you to explore and learn more: https://t.co/tew7W6ymu1 https://t.co/lKg1Zvx86h,RobinhoodApp
2021-01-28 00:02:02+00:00,1354580457879310340,Trying to make sense of a volatile market? Understanding volatility can help you be a more informed investor. Learn more here: https://t.co/dFxVEEoGKc https://t.co/7Lh3cOPrHv,RobinhoodApp
2021-01-15 20:34:39+00:00,1350179613654175744,"Trading options involves significant risk and is not appropriate for all investors. To learn about risks, read the OCC’s Options Disclosure Document: https://t.co/fksys8WCu6",RobinhoodApp
2021-01-15 20:34:24+00:00,1350179548621520896,"What you need to know about investing from the get-go. 💡

Check out our new look and explore articles that can help you build your financial knowledge at https://t.co/qTeDVyTXgL. https://t.co/3aJTHVWaCt",RobinhoodApp
2021-01-12 17:08:29+00:00,1349040567502573570,"Securities are like different vegetables you can plant in your garden. They’re available in many varieties, such as stocks, bonds, ETFs, and mutual funds, but there’s a risk they don’t grow. 🥕 🍅 🥬 🥔

https://t.co/AWawxOokyE https://t.co/0QWKbMSkUu",RobinhoodApp
2021-01-11 17:38:23+00:00,1348685702444187650,"The Russell 2000 index is your snapshot into how small companies are doing. It’s made up of some of the smallest publicly traded US companies and can highlight how smaller company performances compare to the broader market.

https://t.co/bUdJA3cDHp https://t.co/0VQWiBnzec",RobinhoodApp
2021-01-07 01:25:25+00:00,1346991295957372928,https://t.co/VOS0A7lpkl,RobinhoodApp
2021-01-06 17:20:27+00:00,1346869248971341824,"Bull and bear markets are like the emojis of investing:

🐂 - Period of growth for a stock, an industry, or entire markets
🐻 - Period of decline for a stock, an industry, or entire markets

https://t.co/sStRmJjkuo https://t.co/ZS2V6XlF1r",RobinhoodApp
2021-01-05 17:37:26+00:00,1346511136951128064,"The world’s stock markets are complex, but are all based upon one simple concept: Connecting stock buyers with stock sellers to trade under an agreed upon set of rules. This is the key role of every stock market, from New York to Hong Kong.

https://t.co/TCOd3HFUX2 https://t.co/v3OP1fTYIk",RobinhoodApp
2021-01-04 18:05:42+00:00,1346155862344142848,"Getting selected to the @DowJones index is an honor. The Dow’s 30 companies are some of the most prestigious and well-known brands in the United States. Investors look to the Dow to learn how markets are doing in general.

https://t.co/bAncvCf4KY https://t.co/30uLMl0vXJ",RobinhoodApp
2021-01-01 00:06:48+00:00,1344797183841746945,Thanks for making us part of your investing journey. Onward to 2021! https://t.co/kh4YaInJeh,RobinhoodApp
2020-12-25 03:22:34+00:00,1342309735022776320,"And to all, a good night! 🎄❤️",RobinhoodApp
2020-12-25 03:21:33+00:00,1342309478838898688,"We’re thrilled that you’re reading and learning about new companies! It’s never too late to start your journey. Check your DMs. 👀🎅

https://t.co/Z6M121Rsl2",RobinhoodApp
2020-12-25 03:20:41+00:00,1342309262815449089,"Thank YOU for always showing us so much love. We do this for customers like you. Check your DMs! 👀🎅

https://t.co/HBptFOoYDs",RobinhoodApp
2020-12-25 03:16:51+00:00,1342308298494623744,"We love passing value back to our customers and making finance more accessible. Check your DMs for something awesome! 👀🎅

https://t.co/Gv4rxT2vVc",RobinhoodApp
2020-12-25 03:14:22+00:00,1342307671832072192,"Thanks for sharing your 2020 Robinhood Recap. Check your DMs! 👀🎅 #MyRobinhoodRecap

https://t.co/2oDGKVBMfR",RobinhoodApp
2020-12-25 03:11:19+00:00,1342306903926263808,"Thanks for sharing the news! Check your DMs for some holiday spirit! 👀🎅

https://t.co/mxp3o1Xa1h",RobinhoodApp
